AttributeID,AttributeName,SortAttribute,AttributeDescriptionDE,Pset,AllowedValuesDE,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhase,ProjectPhaseDE,ElementID,ModelID,WorkflowID,ServiceLevelDE,InformationProviderDE,SortElement,ElementNameDE,IfcEntityIfc4.0Name,ElementDescriptionDE,ContainedInDE,Attributes,ModelNameDE,ModelDescriptionDE,FileNameDE,SortModels,SorrWorkflow,WorkflowNameDE,WorkflowSubheaderEN,WorkflowSubheaderDE,WorkflowDescriptionDE,Status,Selected
Height_Parkplatz,Height,2207,Raumhoehe von Oberkante Fertigfussboden bis zu Unterkante Rohdecke,Qto_SpaceBaseQuantities,,,Q_Length,,checked,checked,checked,,"53 Inbetriebnahme / Abschluss,61 Betrieb","53 Inbetriebnahme / Abschluss, 61 Betrieb",Parkplatz,Architektur Gesamtmodell inkl. Räumen,Berechnen von SIA416 Volumenkennwerten,Grundleistung,Planer (CDE oder Modell),12.0,Parkplatz,IfcSpace,Jeder einzelne Parkplatz ist als eigenes IfcSpace Element zu modellieren. Lufträume sind als eigener Raum von Oberkante des unteren Raumes bis Unterkanterohdecke (UKRD) zu modellieren. ,Geschoss / Stockwerk,"LongName_Parkplatz,PredefinedTyp_Parkplatz,NetFloorArea_Parkplatz,Height_Parkplatz,FinishCeilingHeight_Parkplatz",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,5.0,,,,,,1.0
Height_Raum,Height,2207,Raumhoehe von Oberkante Fertigfussboden bis zu Unterkante Rohdecke,Qto_SpaceBaseQuantities,,,Q_Length,,checked,checked,checked,,"53 Inbetriebnahme / Abschluss,61 Betrieb","53 Inbetriebnahme / Abschluss, 61 Betrieb",Raum,Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),9.0,Raum,IfcSpace,"Nettoräume repräsentieren die Nutzflächen gemäss SIA 416 (Bruttoräume sind separat beschrieben) und sind Geschossweise modelliert. Nettoräume werden für jeden Raum entsprechend den Raumbildenden Elementen angelegt.
Gemäss SIA, d0165 sind lichte Querschnitte von Schächten, Kaminen und Installationskanälen unter 0.25 m2 der Konstruktionsfläche zuzuweisen. Treppenaugen unter 0.25 m2 sind dem Treppenraum zuzuweisen.
- Es muss jeder Hohlraum modelliert werden. Zum Beispiel  Technik-,  Aufzugsschächte und Lufträume (siehe separaten Punkt) .
- Damit die Flächenauszüge korrekt sind, darf es zu keinen Raumüberschneidungen und Raumdoppelungen kommen.
- Räume sind von Oberkante Fertigfussboden (OKFB) bis zu Unterkanterohdecke (UKRD) zu modellieren, sodass Gebäudetechnikkompetenten eindeutig den Räumen zugeordnet werden können.

- Sämtliche Flächen/Volumen sind mit dem Raumwerkzeug als Volumen zu modellieren.
- Es muss jeder Hohlraum modelliert werden. Zum Beispiel Technik-, Aufzugsschächte und Lufträume.
- Damit die Flächenauszüge korrekt sind, darf es zu keinen Raumüberschneidungen und Raumdoppelungen kommen.
- Die Räume sollten beim Architekturmodell von der Oberkante des fertigen Bodens bis zur Unterkante der fertigen Decke und beim TGA-Modell von der Mitte der unteren bis zur Mitte der oberen Decke modelliert werden, damit die technischen Komponenten des Gebäudes den Räumen eindeutig zugeordnet werden können.",Geschoss / Stockwerk,"AreaLoad_Raum,PointLoad_Raum,IsExternal_Raum,FireExit_Raum,OccupancyNumber_Raum,NetPlannedArea_Raum,Name_Raum,Description_Raum,GrossFloorArea_Raum,MinimumHeadroom_Raum,PredefinedTyp_Raum,FinishCeilingHeight_Raum,NetFloorArea_Raum,EBZ_Raum,Height_Raum,FireExit_Raum,NaturalVentilationRate_Raum,SpaceTemperatureWinterMin_Raum,SpaceTemperatureSummerMax_Raum,SpaceHumidityMax_Raum,GrossVolume_Raum,HandicapAccessible_Raum",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
LongName_Luftraum (Geschossweise),LongName,3,Raumbezeichnung gemäss Klassifikation Liste Raumtype bzw. Bestellung: Luftraum,,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Luftraum (Geschossweise),Architektur Gesamtmodell inkl. Räumen,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Grundleistung,Planer (CDE oder Modell),10.0,Luftraum (Geschossweise),IfcSpace,"Um keine Hohlräume im Gebäude zu haben und verschiedene Flächenberechnungen (SIA 416) automatisiert ausführen zu können, ist der Luftraum in mehrgeschossigen Räumen als eigener Raum Geschossweise zu modellieren. Lufträume sind als eigener Raum von Oberkante des unteren Raumes bis Unterkantenrohdecke (UKRD) zu modellieren. ",Geschoss / Stockwerk,"LongName_Luftraum (Geschossweise),Height_Luftraum (Geschossweise),NetFloorArea_Luftraum (Geschossweise),GrossVolume_Luftraum (Geschossweise),FinishCeilingHeight_Luftraum (Geschossweise),PredefinedTyp_Luftraum (Geschossweise)",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,4.0,,,,,,1.0
Name_Material (einschichtig),Name,1,"Materialname nach Definition des Projektverfassers. z.B. Stahlbeton
Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepflegt werden muss.",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Material (einschichtig),Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),41.0,Material (einschichtig),IfcMaterial,"Alle Elemente müssen eine logische Materialzuordnung nach Standard des Projektverfassers haben. z.B. Stahlbeton.

","Bauteil Typ Architektur, Bauteil Typ Tragwerk",Name_Material (einschichtig),Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
Description_Aussenraum,Description,2,Raumbeschreibung (nicht zwingend) z.B. Konferenzsaal mit 24 Plätzen und Beamer,,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Aussenraum,Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),11.0,Aussenraum,IfcSpace,"Aussenräume wie Balkone, Terrassen sowie der gesamte Planungsperimeter muss mit Räumen für bearbeitete (BUF) und unbearbeitete Umgebungsfläche (UUF) im EG modelliert werden.
- Der Aussenraum wird als Volumenkörper mit einer Höhe von 1m modelliert. 
- Die Aussenräuem repräsentieren bearbeitet oder unbearbeitet Umgebungsflächen in Ausdehnung des Projektperimeter und sind nach den Raumtypen zu klassifzieren.
- Bei Geländen im Gefälle ist der Aussenraum in Projektion zu modellieren.
- Die bearbeitetn und unbearbeiteten Aussenräume sind im EG zu modellieren.
- Balkone/Terrassen usw. sind im jeweiligen Geschoss zu modellieren.",Geschoss / Stockwerk,"IsExternal_Aussenraum,Name_Aussenraum,Description_Aussenraum,GrossFloorArea_Aussenraum",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
Description_Raum,Description,2,Raumbeschreibung (nicht zwingend) z.B. Konferenzsaal mit 24 Plätzen und Beamer,,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Raum,Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),9.0,Raum,IfcSpace,"Nettoräume repräsentieren die Nutzflächen gemäss SIA 416 (Bruttoräume sind separat beschrieben) und sind Geschossweise modelliert. Nettoräume werden für jeden Raum entsprechend den Raumbildenden Elementen angelegt.
Gemäss SIA, d0165 sind lichte Querschnitte von Schächten, Kaminen und Installationskanälen unter 0.25 m2 der Konstruktionsfläche zuzuweisen. Treppenaugen unter 0.25 m2 sind dem Treppenraum zuzuweisen.
- Es muss jeder Hohlraum modelliert werden. Zum Beispiel  Technik-,  Aufzugsschächte und Lufträume (siehe separaten Punkt) .
- Damit die Flächenauszüge korrekt sind, darf es zu keinen Raumüberschneidungen und Raumdoppelungen kommen.
- Räume sind von Oberkante Fertigfussboden (OKFB) bis zu Unterkanterohdecke (UKRD) zu modellieren, sodass Gebäudetechnikkompetenten eindeutig den Räumen zugeordnet werden können.

- Sämtliche Flächen/Volumen sind mit dem Raumwerkzeug als Volumen zu modellieren.
- Es muss jeder Hohlraum modelliert werden. Zum Beispiel Technik-, Aufzugsschächte und Lufträume.
- Damit die Flächenauszüge korrekt sind, darf es zu keinen Raumüberschneidungen und Raumdoppelungen kommen.
- Die Räume sollten beim Architekturmodell von der Oberkante des fertigen Bodens bis zur Unterkante der fertigen Decke und beim TGA-Modell von der Mitte der unteren bis zur Mitte der oberen Decke modelliert werden, damit die technischen Komponenten des Gebäudes den Räumen eindeutig zugeordnet werden können.",Geschoss / Stockwerk,"AreaLoad_Raum,PointLoad_Raum,IsExternal_Raum,FireExit_Raum,OccupancyNumber_Raum,NetPlannedArea_Raum,Name_Raum,Description_Raum,GrossFloorArea_Raum,MinimumHeadroom_Raum,PredefinedTyp_Raum,FinishCeilingHeight_Raum,NetFloorArea_Raum,EBZ_Raum,Height_Raum,FireExit_Raum,NaturalVentilationRate_Raum,SpaceTemperatureWinterMin_Raum,SpaceTemperatureSummerMax_Raum,SpaceHumidityMax_Raum,GrossVolume_Raum,HandicapAccessible_Raum",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
Description_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Description,2,Eindeutige Typenbezeichnung nach Vorgabe des Projektverfassers. ,,,,IfcText,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),26.0,Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IfcDoor,"Alle Innen- und Aussentüren / Tore und Revisionsöffnungen.
- Glasflächen in Fenster und Türen sind mit einem transparenten Material zu modellieren.
- Das Attribut ""PredefinedType"" muss geführt sein.
- Halten Sie den Detailierungsgrad besser klein und arbeiten Sie mit einer Türliste für zusätzliche Anforderungen.
- Führen Sie ab Bauprojekt eine eindeutige Türnummer als Verknüpfung zur Türliste mit den weiteren Eigenschaften.
- Modellieren sie die Türen/Fenster geschlossen. Der Bewegungsraum von Türen kann als eigenes Element ergänzt werden.","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Description_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),PredefinedType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IsExternal_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),FireRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Status_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),SecurityRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),HasDrive_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),OperationType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Area_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),GlazingAreaFraction_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),CleaningCategory_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IsExternal_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06)",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
PredefinedType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),PredefinedType,4,"Der ""PredefinedType"" ist eine standardisierte Typisierung, welche als Investition in die Zukunft und für einen besseren Datenaustausch geführt werden soll. Zudem wird dies zur Auswertung durch den Besteller verwendet.

- DOOR ... Tür
- GATE ... Tor
- TRAPDOOR ... Revisionsöffnung",,"DOOR, GATE, TRAPDOOR",,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Architektur Gesamtmodell inkl. Räumen,Beschaffung (PM/OM),Grundleistung,Planer (CDE oder Modell),26.0,Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IfcDoor,"Alle Innen- und Aussentüren / Tore und Revisionsöffnungen.
- Glasflächen in Fenster und Türen sind mit einem transparenten Material zu modellieren.
- Das Attribut ""PredefinedType"" muss geführt sein.
- Halten Sie den Detailierungsgrad besser klein und arbeiten Sie mit einer Türliste für zusätzliche Anforderungen.
- Führen Sie ab Bauprojekt eine eindeutige Türnummer als Verknüpfung zur Türliste mit den weiteren Eigenschaften.
- Modellieren sie die Türen/Fenster geschlossen. Der Bewegungsraum von Türen kann als eigenes Element ergänzt werden.","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Description_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),PredefinedType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IsExternal_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),FireRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Status_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),SecurityRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),HasDrive_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),OperationType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Area_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),GlazingAreaFraction_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),CleaningCategory_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IsExternal_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06)",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,9.0,,,,,,1.0
Name_Material (mehrschichtig),Name,1,"Materialschichtaufbau nach Definition des Projektverfassers. z.B. Stahlbeton, Folie, Lattenrost (vertikal), Lamellen (horizontal)
",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Material (mehrschichtig),Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),42.0,Material (mehrschichtig),IfcMaterialLayerSet,"Alle Elemente müssen eine logische Materialzuordnung nach Standard des Projektverfassers haben. z.B. Stahlbeton.

","Bauteil Typ Architektur, Bauteil Typ Tragwerk",Name_Material (mehrschichtig),Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
PredefinedType_Abhangdecken,PredefinedType,4,"Wertebereich:
- CEILING ... Abhangdecke",,CEILING,,,,checked,checked,checked,checked,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Abhangdecken,Architektur Gesamtmodell inkl. Räumen,Reinigung / Umgebungspflege,Grundleistung,Planer (CDE oder Modell),31.0,Abhangdecken,IfcCovering,Abhangdecken sind mit allen Versprüngen zu modellieren.,"Geschoss / Stockwerk, eBKP-H Klassifizierung","PredefinedType_Abhangdecken,NetArea_Abhangdecken",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,10.0,,,,,,1.0
Name_Brandabschnittszone,Name,1,Brandabschnitte gemäss Nummerierungskonzept des Planers.  Starten Sie die Bezeichnung mit BR gefolgt von einer ganzzahligen Nummer. z.B. BR13,,^BR\d+$,^BR\d+$,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Brandabschnittszone,Architektur Gesamtmodell inkl. Räumen,Projektstart mit BIM,Grundleistung,Planer (CDE oder Modell),15.0,Brandabschnittszone,IfcZone,Die Brandabschnitte werden als IfcZone modelliert und zeigen welche Räume welchem Brandabschnitte  zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Brandabschnittszone,Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,3.0,,,,,,1.0
IsExternal_Fenster / Oberlichter (eBKP-H: E03.01),IsExternal,1602,Gibt an ob es sich um ein Innen- oder um ein Aussenfenster handelt.,Pset_WindowCommon,FALSE,,IfcBoolean,,,checked,checked,checked,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Fenster / Oberlichter (eBKP-H: E03.01),Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),27.0,Fenster / Oberlichter (eBKP-H: E03.01),IfcWindow,"Alle Innen- und Aussenfenster.
- Der Glasanteil mit einem transparenten Material exportiert wird. 
- Jedes Fenster hat einen Bezug zum Raum.","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Fenster / Oberlichter (eBKP-H: E03.01),Description_Fenster / Oberlichter (eBKP-H: E03.01),IsExternal_Fenster / Oberlichter (eBKP-H: E03.01),FireRating_Fenster / Oberlichter (eBKP-H: E03.01),PredefinedType_Fenster / Oberlichter (eBKP-H: E03.01),Status_Fenster / Oberlichter (eBKP-H: E03.01),SecurityRating_Fenster / Oberlichter (eBKP-H: E03.01),Area_Fenster / Oberlichter (eBKP-H: E03.01),GlazingAreaFraction_Fenster / Oberlichter (eBKP-H: E03.01),Opens_Fenster / Oberlichter (eBKP-H: E03.01),HasDrive_Fenster / Oberlichter (eBKP-H: E03.01),CleaningCategory_Fenster / Oberlichter (eBKP-H: E03.01),IsExternal_Fenster / Oberlichter (eBKP-H: E03.01)",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
LoadBearing_Wand / Raumtrennungen,LoadBearing,1703,Gibt an ob es sich um ein tragendes oder nichttragendes Bauteil handelt.,Pset*Common,"TRUE, FALSE",,,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Wand / Raumtrennungen,Architektur Gesamtmodell inkl. Räumen,Visualisieren des Tragwerkes,Grundleistung,Planer (CDE oder Modell),29.0,Wand / Raumtrennungen,IfcWall,"Wände sind so zu modellieren, dass die Eigenschaften eindeutig zugeordnet werden können. ",Geschoss / Stockwerk,"PredefinedType_Wand / Raumtrennungen,Status_Wand / Raumtrennungen,FireRating_Wand / Raumtrennungen,External _Wand / Raumtrennungen,AcousticRating_Wand / Raumtrennungen,ThermalTransmittance_Wand / Raumtrennungen,LoadBearing_Wand / Raumtrennungen,Name_Wand / Raumtrennungen",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,20.0,,,,,,1.0
FireRating_Architektonische Bauteil / Element (Allgemein),FireRating,1702,Brandschutzeigenschaft gemäss angaben des Brandschutzplaners,Pset*Common,,,,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Architektonische Bauteil / Element (Allgemein),Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),25.0,Architektonische Bauteil / Element (Allgemein),,"Diese Vorgaben für nicht näher spezifizierte Elemente sind Richtlinien. Die exakte Einhaltung wird nicht streng geprüft. Ziel ist ein guter Datenaustausch zwischen Disziplinen durch möglichst standardkonforme Arbeit.
- Wählen Sie die passendste IfcEntität (z.B. IfcSlab)
- Nutzen Sie PredefinedType zur genaueren Spezifikation
- Pflegen Sie relevante Attribute
- Verwenden Sie einheitliche Bezeichnungen
- Modellieren Sie Bauteile geschossweise (z.B. Wände an Geschossgrenzen trennen)
- Wählen Sie den größtmöglichen geometrischen Abstraktionsgrad (z.B. Platzhalterelement statt Details)","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Architektonische Bauteil / Element (Allgemein),PredefinedType_Architektonische Bauteil / Element (Allgemein),Status_Architektonische Bauteil / Element (Allgemein),FireRating_Architektonische Bauteil / Element (Allgemein),External _Architektonische Bauteil / Element (Allgemein),AcousticRating_Architektonische Bauteil / Element (Allgemein),ThermalTransmittance_Architektonische Bauteil / Element (Allgemein),LoadBearing_Architektonische Bauteil / Element (Allgemein),* Alle Mengen berechnet aus Erstellersoftware_Architektonische Bauteil / Element (Allgemein)",Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0,1.0,,,,,,1.0
