AttributeID,AttributeName,SortAttribute,AttributeDescriptionDE,Pset,AllowedValuesDE,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhase,ProjectPhaseDE,ElementID,ModelID,WorkflowID,ServiceLevelDE,InformationProviderDE
Name_Evakuierungszone,Name,1.0,Evakuierungszone gemäss Nummerierungskonzept des Planers. Starten Sie die Bezeichnung mit EV gefolgt von einer ganzzahligen Nummer. z.B. EV13,,^EV\d+$,^EV\d+$,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Evakuierungszone,Architektur Gesamtmodell inkl. Räumen,"Beschaffung (PM/OM),Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM,Visualisieren von Evakuationsbereichen",Grundleistung,Planer (CDE oder Modell)
Name_Aussenraum,Name,1.0,"Eindeutige Nummer des Raumes. z.B. 01.008 nach dem Schema Geschoss Fortlaufende Nummer


",,,,IfcLabel,,checked,checked,checked,,"32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Aussenraum,Architektur Gesamtmodell inkl. Räumen,"Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
Name_Raum Typ gemäss Vorgabe DIN 277-SIA 0165,Name,1.0,Raum Typ Bezeichnung gemäss 03_Raumtypen DIN 277-SIA 0165,,BBL_Bau _281,,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Raum Typ gemäss Vorgabe DIN 277-SIA 0165,Architektur Gesamtmodell inkl. Räumen,"Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm",Grundleistung,Planer (CDE oder Modell)
Name_Bauteil Typ Architektur,Name,1.0,"Elemententypename nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist einzig auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Bauteil Typ Architektur,"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur,Spezialist Sicherheitsplanung","Datenübergabe in Bewirtschaftung BBL,Identifizieren von verbauten Produkten",Grundleistung,Planer (CDE oder Modell)
Name_Sicherheitsbereich,Name,1.0,"Zusammenfassung aller modellierten Nettoräume eines Sicherheitsbereiches:

- ""SB0
 Öffentliche Zone""
- ""SB1 Halböffentliche
 Zone""
- SB2 Mischzone
- ""SB2 Spezielle
 Mischzone""
- SB3 Verwaltungszone
- ""SB3 Spezielle
 Verwaltungszone""
- SB4 Sicherheitszone
- SBG Gebäudetechnik",,"SB0, SB1, SB2, SB2S, SB3, SB3S, SB4, SBG",,IfcLabel,,checked,checked,checked,checked,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Sicherheitsbereich,Architektur Gesamtmodell inkl. Räumen,"Datenübergabe in Bewirtschaftung BBL,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Visualisieren von Nutzungseinheiten / Kostenteileiler",Grundleistung,Planer (CDE oder Modell)
Name_HLKSE Bauteil/Elemente/Komponenten (Allgemein),Name,1.0,"Element Typenname nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",HLKSE Bauteil/Elemente/Komponenten (Allgemein),"HLKSE Heizung-Kälte,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung,Spezialist Sicherheitsplanung","Datenübergabe in Bewirtschaftung BBL,Identifizieren von verbauten Produkten",Grundleistung,Planer (CDE oder Modell)
Name_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Name,1.0,Türnummer mit Raumbezug z.B. T-U1.008.01,,,,IfcLabel,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
ObjectType_Modelleinfügepunkte,ObjectType,1.0,"Am besten werden drei Einfügepunkte definiert, sodass auch Abweichungen in der Drehung der Modelle erkannt werden. ",,REFERENCEPOINT,,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Modelleinfügepunkte,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Name_Schutzzonen,Name,1.0,"Zone ID, Name der Zone gemäss Klassifikation Zonentyp: ""SZ1""	",,"SZ0, SZ1, SZ2, SZ3",,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Schutzzonen,Architektur Gesamtmodell inkl. Räumen,"Beschaffung (PM/OM),Datenübergabe in Bewirtschaftung BBL,Visualisieren der Schutzzonen,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
Name_Explosionszone,Name,1.0,Explosionszone gemäss Nummerierungskonzept des Planers. Starten Sie die Bezeichnung mit EX gefolgt von einer ganzzahligen Nummer. z.B. EX13,,^EX\d+$,^EX\d+$,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Explosionszone,Architektur Gesamtmodell inkl. Räumen,"Beschaffung (PM/OM),Datenübergabe in Bewirtschaftung BBL,Visualisieren der Schutzzonen,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
Name_Sperrzone,Name,1.0,Die Sperrzonen müssen eindeutig Identifizierbar / benannt sein.,,,,IfcLabel,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Sperrzone,"Bauingenieur Sperrzonen,Bauingenieur Tragwerk inkl. Sperrzonen",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
