ElementID,SortElement,ElementNameDE,IfcEntityIfc4.0Name,ElementDescriptionDE,ContainedInDE,Attributes
Bauteil Typ Architektur,"23,0",Bauteil Typ Architektur,,"Es ist wenn immer möglich mit einer Typisierung der Element zu arbeiten. Die Typisierung erfolgt nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist einzig auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.Jedes Element sollte einem Typ zugeordnet sein.",Projekt,"PointOfContact_Bauteil Typ Architektur,SerialNumber_Bauteil Typ Architektur,ModelLabel_Bauteil Typ Architektur,Manufacturer_Bauteil Typ Architektur,ModelReference_Bauteil Typ Architektur"
Architektonische Bauteil / Element (Allgemein),"25,0",Architektonische Bauteil / Element (Allgemein),,"Diese Vorgaben für nicht näher spezifizierte Elemente sind Richtlinien. Die exakte Einhaltung wird nicht streng geprüft. Ziel ist ein guter Datenaustausch zwischen Disziplinen durch möglichst standardkonforme Arbeit.- Wählen Sie die passendste IfcEntität (z.B. IfcSlab)
- Nutzen Sie PredefinedType zur genaueren Spezifikation
- Pflegen Sie relevante Attribute
- Verwenden Sie einheitliche Bezeichnungen
- Modellieren Sie Bauteile geschossweise (z.B. Wände an Geschossgrenzen trennen)
- Wählen Sie den größtmöglichen geometrischen Abstraktionsgrad (z.B. Platzhalterelement statt Details)",Geschoss / Stockwerk,"Name_Architektonische Bauteil / Element (Allgemein),PredefinedType_Architektonische Bauteil / Element (Allgemein),Status_Architektonische Bauteil / Element (Allgemein),FireRating_Architektonische Bauteil / Element (Allgemein),External _Architektonische Bauteil / Element (Allgemein),AcousticRating_Architektonische Bauteil / Element (Allgemein),ThermalTransmittance_Architektonische Bauteil / Element (Allgemein),LoadBearing_Architektonische Bauteil / Element (Allgemein),* Alle Mengen berechnet aus Erstellersoftware_Architektonische Bauteil / Element (Allgemein),Name_Architektonische Bauteil / Element (Allgemein)"
Tragende Bauteile / Elemente (Allgemein),"26,0",Tragende Bauteile / Elemente (Allgemein),,"Alle tragenden Bauteile sind Analog zu einer Schalplanung zu modellieren.  Es wird geschossweise modelliert! Alle Elemente welche für die Arbeit des Baumeisters notwendig sind, sind im Bauingineurmodell enthalten.  Insbesondere bedeutet dies, dass auch die folgenden Elemente enthalten sein müssen:
- Durchbrüche und Aussparungen.
- Nichttragendes Mauerwerk
- Sperrzonen","Geschoss / Stockwerk, eBKP-H Klassifizierung","Status_Tragende Bauteile / Elemente (Allgemein),LoadBearing_Tragende Bauteile / Elemente (Allgemein)"
Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),"28,0",Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IfcDoor,"Alle Innen- und Aussentüren / Tore und Revisionsöffnungen.- Glasflächen in Fenster und Türen sind mit einem transparenten Material zu modellieren.
- Das Attribut PredefinedType muss geführt sein.
- Halten Sie den Detailierungsgrad besser klein und arbeiten Sie mit einer Türliste für zusätzliche Anforderungen.
- Führen Sie ab Bauprojekt eine eindeutige Türnummer als Verknüpfung zur Türliste mit den weiteren Eigenschaften.
- Modellieren sie die Türen/Fenster geschlossen. Der Bewegungsraum von Türen kann als eigenes Element ergänzt werden.
","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Description_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),PredefinedType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),IsExternal_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),FireRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Status_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),SecurityRating_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),HasDrive_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),OperationType_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Area_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),GlazingAreaFraction_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06)"
Fenster / Oberlichter (eBKP-H: E03.01),"29,0",Fenster / Oberlichter (eBKP-H: E03.01),IfcWindow,"Alle Innen- und Aussenfenster.- Der Glasanteil mit einem transparenten Material exportiert wird. 
- Jedes Fenster hat einen Bezug zum Raum.","Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Fenster / Oberlichter (eBKP-H: E03.01),Description_Fenster / Oberlichter (eBKP-H: E03.01),IsExternal_Fenster / Oberlichter (eBKP-H: E03.01),FireRating_Fenster / Oberlichter (eBKP-H: E03.01),PredefinedType_Fenster / Oberlichter (eBKP-H: E03.01),Status_Fenster / Oberlichter (eBKP-H: E03.01),SecurityRating_Fenster / Oberlichter (eBKP-H: E03.01),Area_Fenster / Oberlichter (eBKP-H: E03.01),GlazingAreaFraction_Fenster / Oberlichter (eBKP-H: E03.01),Opens_Fenster / Oberlichter (eBKP-H: E03.01)"
Sonnenschutz ,"30,0",Sonnenschutz ,IfcShadingDevice,"Alle Sonnenschutzelemente wie Storen, Lamellenstoren, Rolläden , Fensterläden, Innenliegende Rollos, Markisen.Der Sonnenschutz ist als separates Element und nicht als teil des Fensters zu modellieren.","Geschoss / Stockwerk, eBKP-H Klassifizierung",PredefinedType_Sonnenschutz 
Bodenbeläge,"31,0",Bodenbeläge,IfcCovering,"Fussbodenbeläge Bodenbeläge werden erst als eigenes Element modelliert, wenn es unterschiedliche Bodenbeläge oder Aufbauten innerhalb eines Raumes gibt.","Geschoss / Stockwerk, eBKP-H Klassifizierung","Floormaterial_Bodenbeläge,NetArea_Bodenbeläge,PredefinedType_Bodenbeläge"
Aussenoberflächen,"32,0",Aussenoberflächen,IfcCovering,"Die bearbeiteten und unbearbeiteten Aussenoberflächen,Aussenbodenbeläge werden als eigenes Element modelliert.","Geschoss / Stockwerk, eBKP-H Klassifizierung","PredefinedType_Aussenoberflächen,Floormaterial_Aussenoberflächen,NetArea_Aussenoberflächen"
Möbel,"33,0",Möbel,IfcFurnishingElement,Alle für die Beschaffung oder Umzug relevante Möbel sind zu modellieren.Die Polygonzahl soll soweit wie Möglich reduziert werden. D.h. Das Möbel ist ein Platzhalter und muss nicht jedes Detail zeigen. Somit sollten keine Herstellerbibliotheken genutzt werden.,"Geschoss / Stockwerk, eBKP-H Klassifizierung","Name_Möbel,Status_Möbel"
HLKSE System,"36,0",HLKSE System,IfcDistributionSystem,"Alle Elemente die einer Heizungsanlage zugeordnet sind, werden in einem System zusammengefasst.

z.B. Heizstrang 1, Heizstrang 2, ...Die Element werden dem passenden System zugeordnet.",Projekt,Name_HLKSE System
HLKSE Bauteil Typ,"39,0",HLKSE Bauteil Typ,,"Es ist wenn immer möglich mit einer Typisierung der Element zu arbeiten. Die Typisierung erfolgt nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist einzig auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.Jedes Element sollte einem Typ zugeordnet sein.",Projekt,"PointOfContact_HLKSE Bauteil Typ,Manufacturer_HLKSE Bauteil Typ,SerialNumber_HLKSE Bauteil Typ,ModelLabel_HLKSE Bauteil Typ,ModelReference_HLKSE Bauteil Typ"
HLKSE Bauteil/Elemente/Komponenten (Allgemein),"48,0",HLKSE Bauteil/Elemente/Komponenten (Allgemein),,"Diese Vorgaben für nicht näher spezifizierte Elemente sind Richtlinien. Die exakte Einhaltung wird nicht streng geprüft. Ziel ist ein guter Datenaustausch zwischen Disziplinen durch möglichst standardkonforme Arbeit.- Jedes Bauteil im HLKSE / TGA Modell muss für eine Geometrische Koordination ausreichend genau modelliert sein und dem passenden System / Anlage zugeordnet sein.
- Wählen Sie den grösst möglichen geometrischen Abstraktionsgrad für die Modellierung. z.B. keine Schrauben und Details sondern ein Platzhalterelement, welches die Position und Grösse für eine Koordination definiert.
",Geschoss / Stockwerk,"Status_HLKSE Bauteil/Elemente/Komponenten (Allgemein),Name_HLKSE Bauteil/Elemente/Komponenten (Allgemein)"
Bauteil Typ Tragwerk,"24,0",Bauteil Typ Tragwerk,,"Es ist wenn immer möglich mit einer Typisierung der Element zu arbeiten. Die Typisierung erfolgt nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist einzig auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.Jedes Element sollte einem Typ zugeordnet sein.",Projekt,"PointOfContact_Bauteil Typ Tragwerk,Manufacturer_Bauteil Typ Tragwerk,SerialNumber_Bauteil Typ Tragwerk,ModelLabel_Bauteil Typ Tragwerk,ModelReference_Bauteil Typ Tragwerk"
Sperrzone,"27,0",Sperrzone,IfcBuildingElementProxy,Horizontale und vertikale Sperrzonen sind zu modellieren.,Geschoss / Stockwerk,Name_Sperrzone
Aushub- & Aufschüttungsvolumen,"52,0",Aushub- & Aufschüttungsvolumen,IfcBuildingElementProxyType,Das Volumen von Aushub und Aufschüttung ist als separates Element zu modellieren.,Geschoss / Stockwerk,Status_Aushub- & Aufschüttungsvolumen
Aussparungen / Durchbrüche,"27,0",Aussparungen / Durchbrüche,IfcBuildingElementProxyType,Es sind alle Aussparungen für die Baumeisterarbeiten zu übernehmen.,Geschoss / Stockwerk,PredefinedType_Aussparungen / Durchbrüche
